row_id;year_mid;Newbmag;bmag;vmag;vmagold;bmagerr;vmagerr;color_term;ut_start;jd_start;jd_mid;exptime;annular_bin;raj2000;dej2000;PHASE
967;1955.77141798;11018;11.018;10.627;10627;0.265992;0.374001;0.765763;10/10/55 12:00 AM;2435391;2435390.51042;1800;6;298.639178102;33.0016281224;#WERT!
890;1955.56881702;11.1567;11.1567;10.7657;10.7657;0.265997;0.346745;0.690224;07/28/55 12:00 AM;2435317;2435316.51042;1800;6;298.638952369;33.0012530459;#WERT!
995;1955.87271846;11.1208;11.1208;10.7298;10.7298;0.266522;0.358146;0.720049;11/16/55 12:00 AM;2435429;2435427.51042;1800;6;298.639275998;33.0013386434;#WERT!
851;1954.94732489;10.6756;10.6756;10.2846;10.2846;0.266657;0.357816;0.718862;12/13/54 12:00 AM;2435091;2435089.51042;1800;6;298.638657009;33.0011484998;#WERT!
621;1951.76534258;10.9971;10.9971;10.6061;10.6061;0.266668;0.360283;0.725651;10/07/51 06:39 PM;2433927.27752;2433927.29138;2400;6;298.638884489;33.0013122247;#WERT!
555;1950.59111723;10879;10.879;10.488;10488;0.266874;0.518264;1.25885;08/04/50 09:24 PM;2433498.39171;2433498.40557;2400;6;298.63890814;33.0013649845;#WERT!
1042;1960.54895334;10.9957;10.9957;10.6047;10.6047;0.266889;0.339371;0.668947;07/20/60 12:00 AM;2437137;2437135.50521;900;8;298.639597529;33.0015952226;#WERT!
844;1954.88161647;10.8587;10.8587;10.4677;10.4677;0.266977;0.360803;0.726459;11/19/54 12:00 AM;2435067;2435065.51042;1800;6;298.638565911;33.0011444787;#WERT!
829;1954.82138376;10.8265;10.8265;10.4355;10.4355;0.267793;0.374333;0.763024;10/28/54 12:00 AM;2435045;2435043.51042;1800;6;298.638786211;33.0014532857;#WERT!
1065;1960.61467602;10.8579;10.8579;10.4669;10.4669;0.267978;0.36397;0.733226;08/13/60 12:00 AM;2437161;2437159.51042;1800;8;298.638746323;33.0011085853;#WERT!
916;1955.71118526;10.9332;10.9332;10.5422;10.5422;0.268111;0.3699;0.749684;09/18/55 12:00 AM;2435369;2435368.51042;1800;6;298.638887141;33.0011400381;#WERT!
1010;1955.88366986;11.3122;11.3122;10.9212;10.9212;0.268169;0.3255;0.630856;11/20/55 12:00 AM;2435433;2435431.51042;1800;6;298.638885451;33.0011029923;#WERT!
903;1955.63452544;11.0322;11.0322;10.6412;10.6412;0.268196;0.434675;0.949878;08/21/55 12:00 AM;2435341;2435340.51042;1800;8;298.639290486;33.0016055998;#WERT!
1135;1962.73597715;11.0507;11.0507;10.6597;10.6597;0.268336;0.340174;0.668068;09/26/62 07:19 PM;2437934.30527;2437934.31565;1800;8;298.638491377;33.0008184525;#WERT!
921;1955.71118526;10.8749;10.8749;10.4839;10.4839;0.268903;0.373949;0.759627;09/18/55 12:00 AM;2435369;2435368.51042;1800;6;298.638865454;33.0011824222;#WERT!
641;1952.33266909;11.0027;11.0027;10.6117;10.6117;0.269019;0.353458;0.702082;05/01/52 11:50 PM;2434134.49353;2434134.50738;2400;6;298.639312964;33.0013085644;#WERT!
514;1948.74038639;11249;11.249;10.858;10858;0.269022;0.491575;1.1508;09/27/48 09:53 PM;2432822.41228;2432822.42613;2400;6;298.639410961;33.0013864675;#WERT!
