bmag CLEAN,vmag CLEAN,PHASE,Phase+DELTA
12.3366,12.0626,0.989454292,0.989454292
12.3625,12.0885,0.9979038041,0.9979038041
12.3014,12.0274,0.989454292,0.989454292
12.4111,12.1371,0.9979038041,0.9979038041
12.0406,11.7666,0.0273003385,0.0273003385
11.9571,11.6831,0.0273003385,0.0273003385
12.3858,12.1118,0.5034106751,0.5034106751
12.2379,11.9639,0.4892700658,0.4892700658
12.0646,11.7906,0.5171181039,0.5171181039
12.198,11.924,0.4892700658,0.4892700658
12.3364,12.0624,0.5034106751,0.5034106751
12.0226,11.7486,0.5171181039,0.5171181039
12.2329,11.9589,0.4485361481,0.4485361481
12.1697,11.8957,0.4485361481,0.4485361481
12.311,12.037,0.8788090023,0.8788090023
12.308,12.034,0.8626020713,0.8626020713
12.25,11.976,0.8788090023,0.8788090023
12.3232,12.0492,0.8626020713,0.8626020713
12.1016,11.8276,0.8953594901,0.8953594901
12.0794,11.8054,0.8953594901,0.8953594901
12.9057,12.6317,0.2663513243,0.2663513243
12.3753,12.1013,0.7772057358,0.7772057358
12.8863,12.6123,0.2663513243,0.2663513243
12.2889,12.0149,0.8037592114,0.8037592114
12.4997,12.2257,0.7772057358,0.7772057358
12.2635,11.9895,0.8037592114,0.8037592114
12.0158,11.7418,0.2585690101,0.2585690101
11.9742,11.7002,0.2585690101,0.2585690101
12.2156,11.9416,0.7247610038,0.7247610038
12.2213,11.9473,0.7247610038,0.7247610038
12.2614,11.9874,0.6690300737,0.6690300737
12.3563,12.0823,0.6690300737,0.6690300737
12.2969,12.0229,0.6597191795,0.6597191795
12.2952,12.0212,0.6597191795,0.6597191795
12.2958,12.0218,0.6253933479,0.6253933479
12.27,11.996,0.6253933479,0.6253933479
12.199,11.925,0.6364319855,0.6364319855
12.2076,11.9336,0.6364319855,0.6364319855
12.2366,11.9626,0.6450557657,0.6450557657
12.2074,11.9334,0.6450557657,0.6450557657
12.2626,11.9886,0.619054969,0.619054969
12.2074,11.9334,0.619054969,0.619054969
12.3311,12.0571,0.6105008962,0.6105008962
12.2734,11.9994,0.6105008962,0.6105008962
12.2129,11.9389,0.50283808,0.50283808
12.2514,11.9774,0.50283808,0.50283808
12.2217,11.9477,0.0045608446,0.0045608446
12.1957,11.9217,0.0045608446,0.0045608446
12.9772,12.7032,0.149661422,0.149661422
13.14,12.866,0.1606950808,0.1606950808
12.9673,12.6933,0.149661422,0.149661422
13.0938,12.8198,0.1606950808,0.1606950808
12.478,12.204,0.6496564431,0.6496564431
12.4633,12.1893,0.6496564431,0.6496564431
12.0298,11.7558,0.6753485362,0.6753485362
11.9957,11.7217,0.6753485362,0.6753485362
12.3023,12.0283,0.0025293766,0.0025293766
12.2609,11.9869,0.0025293766,0.0025293766
12.1546,11.8806,0.4167048397,0.4167048397
12.1202,11.8462,0.4167048397,0.4167048397
12.2228,11.9488,0.3147181836,0.3147181836
12.3026,12.0286,0.7599731131,0.7599731131
12.2877,12.0137,0.7599731131,0.7599731131
12.1907,11.9167,0.3147181836,0.3147181836
12.334,12.06,0.101244772,0.101244772
12.3332,12.0592,0.101244772,0.101244772
12.3028,12.0288,0.5826777534,0.5826777534
12.221,11.947,0.5826777534,0.5826777534
12.297,12.023,0.6213304123,0.6213304123
12.2379,11.9639,0.6213304123,0.6213304123
12.245,11.971,0.0910675166,0.0910675166
12.2153,11.9413,0.0910675166,0.0910675166
12.1457,11.8717,0.5753684527,0.5753684527
12.2047,11.9307,0.5753684527,0.5753684527
12.268,11.994,0.6236506673,0.6236506673
12.2268,11.9528,0.6236506673,0.6236506673
12.5495,12.2755,0.7029525993,0.7029525993
12.4109,12.1369,0.6655447123,0.6655447123
12.4974,12.2234,0.6655447123,0.6655447123
12.6168,12.3428,0.7029525993,0.7029525993
12.4558,12.1818,0.7043218482,0.7043218482
12.3909,12.1169,0.7043218482,0.7043218482
12.2595,11.9855,0.6062238598,0.6062238598
12.2073,11.9333,0.6062238598,0.6062238598
12.4217,12.1477,0.0929446326,0.0929446326
12.4177,12.1437,0.0929446326,0.0929446326
12.6384,12.3644,0.1581159133,0.1581159133
12.6255,12.3515,0.1581159133,0.1581159133
12.3028,12.0288,0.5879456286,0.5879456286
12.2395,11.9655,0.5879456286,0.5879456286
12.3965,12.1225,0.1184574787,0.1184574787
12.4127,12.1387,0.1184574787,0.1184574787
12.6442,12.3702,0.1694931289,0.1694931289
12.602,12.328,0.1694931289,0.1694931289
12.4944,12.2204,0.4897878909,0.4897878909
12.5118,12.2378,0.4897878909,0.4897878909
12.1939,11.9199,0.5339275045,0.5339275045
12.2219,11.9479,0.5339275045,0.5339275045
12.1499,11.8759,0.0042720574,0.0042720574
12.2036,11.9296,0.0042720574,0.0042720574
12.2388,11.9648,0.0025393349,0.0025393349
11.7519,11.4779,0.0708225453,0.0708225453
12.2212,11.9472,0.0025393349,0.0025393349
11.8026,11.5286,0.0708225453,0.0708225453
12.1964,11.9224,0.5240888269,0.5240888269
12.1802,11.9062,0.5240888269,0.5240888269
12.27,11.996,0.4818313085,0.4818313085
