"row_id","jd_mid","bmag","plate_id","filename_preview"
"642","2434157.48752","11.0738","7338","LA07806_pre.jpg"
"643","2434153.51368","11.2857","7335","LA07803_pre.jpg"
"644","2434153.51368","11.307","7335","LA07803_pre.jpg"
"645","2434157.48752","11.1164","7338","LA07806_pre.jpg"
"646","2434214.42677","10.9912","7340","LA07808_pre.jpg"
"647","2434214.42677","11.0009","7340","LA07808_pre.jpg"
"648","2434214.46901","11.0611","7341","LA07809_pre.jpg"
"649","2434214.46901","11.0585","7341","LA07809_pre.jpg"
"650","2434215.4185","11.5336","7343","LA07811_pre.jpg"
"651","2434215.4185","11.5576","7343","LA07811_pre.jpg"
"652","2434225.49819","11.06","7353","LA07821_pre.jpg"
"653","2434215.51268","10.9987","7350","LA07818_pre.jpg"
"654","2434225.49819","11.0672","7353","LA07821_pre.jpg"
"655","2434215.51268","11.0267","7350","LA07818_pre.jpg"
"656","2434237.38751","11.0174","7354","LA07822_pre.jpg"
"657","2434237.42006","11.0394","7355","LA07823_pre.jpg"
"658","2434237.42006","11.0314","7355","LA07823_pre.jpg"
"659","2434238.38686","11.243","7356","LA07824_pre.jpg"
"660","2434238.38686","11.2272","7356","LA07824_pre.jpg"
"661","2434238.41872","11.061","7357","LA07825_pre.jpg"
"662","2434238.45057","11.0139","7358","LA07826_pre.jpg"
"663","2434238.45057","11.0382","7358","LA07826_pre.jpg"
"664","2434238.48243","10.87","7359","LA07827_pre.jpg"
"665","2434239.38274","11.0754","7360","LA07828_pre.jpg"
"666","2434238.48243","10.9169","7359","LA07827_pre.jpg"
"667","2434239.38274","11.1106","7360","LA07828_pre.jpg"
"668","2434239.42361","11.0307","7361","LA07829_pre.jpg"
"669","2434365.21552","10.8274","7400","LA07874_pre.jpg"
"670","2434365.21552","10.7631","7400","LA07874_pre.jpg"
"671","2434455.58247","10.7086","7509","LA07982_pre.jpg"
"672","2434600.4345","10.9821","7533","LA08009_pre.jpg"
"673","2434600.4667","10.8888","7534","LA08010_pre.jpg"
"674","2434600.4667","10.852","7534","LA08010_pre.jpg"
"675","2434601.37151","11.0395","7535","LA08011_pre.jpg"
"676","2434601.37151","10.9738","7535","LA08011_pre.jpg"
"677","2434600.4345","10.9421","7533","LA08009_pre.jpg"
"678","2434601.40406","10.7994","7536","LA08012_pre.jpg"
"679","2434601.40406","10.7505","7536","LA08012_pre.jpg"
"680","2434601.43592","10.7763","7537","LA08013_pre.jpg"
"681","2434601.43592","10.8089","7537","LA08013_pre.jpg"
"682","2434601.46778","10.8445","7538","LA08014_pre.jpg"
"683","2434601.5024","10.9733","7539","LA08015_pre.jpg"
"684","2434601.5024","11.0013","7539","LA08015_pre.jpg"
"685","2434601.46778","10.8779","7538","LA08014_pre.jpg"
"686","2434602.39302","10.931","7540","LA08016_pre.jpg"
"687","2434602.39302","10.883","7540","LA08016_pre.jpg"
"688","2434602.46851","11.0147","7541","LA08017_pre.jpg"
"689","2434602.46851","11.0189","7541","LA08017_pre.jpg"
"690","2434602.49898","10.8566","7542","LA08018_pre.jpg"
"691","2434603.41038","10.8228","7544","LA08020_pre.jpg"
"692","2434602.49898","10.8814","7542","LA08018_pre.jpg"
"693","2434603.37575","10.8486","7543","LA08019_pre.jpg"
"694","2434603.44154","10.7745","7545","LA08021_pre.jpg"
"695","2434603.44154","10.7988","7545","LA08021_pre.jpg"
"696","2434604.37994","11.2833","7547","LA08023_pre.jpg"
"697","2434604.37994","11.3196","7547","LA08023_pre.jpg"
"698","2434604.41457","11.0016","7548","LA08024_pre.jpg"
"699","2434604.45266","11.0266","7549","LA08025_pre.jpg"
